groupId,label,count,category,subcategory,confidence,homogeneity,reviewSampleSize,riskFlags,examples,outliers
interior|other|накладка|kuzov-i-optika|elementy-salona,Элементы салона,15,kuzov-i-optika,elementy-salona,0.85,1,8,near_threshold_or_close_candidate,А-00439 Накладка кулисы 2101-07 | А-00509 Накладка потолка 2105-07 | ЗЧМ-00241 Накладка поводка 2141 Москвич | ЗЧМ-00358 Накладка с пепельницой 2141 | КР-00439 Накладка центральная Приора | А-00261 Накладка заднего замка 2109 | А-00431 Накладка тоннеля 2121 | А-00584 Накладка люка б/бака,А-00439 Накладка кулисы 2101-07
active_neighbor|fittings|active-neighbor-82|tormoznaya-sistema|prochaya-tormoznaya-sistema,Похожие активные товары,14,tormoznaya-sistema,prochaya-tormoznaya-sistema,0.9391,1,8,,КГ-00927 Фитинг 22х12 с наружной резьбой | КГ-00926 Фитинг 22х10 с наружной резьбой | КГ-00928 Фитинг 22х8 с наружной резьбой | КГ-00929 Фитинг 12х12 с наружной резьбой | КГ-00930 Фитинг 16х6 с наружной резьбой | КГ-00931 Фитинг 16х12 с наружной резьбой | КГ-00932 Фитинг 12х10 с наружной резьбой | КГ-00933 Фитинг 10х12 с наружной резьбой,
wheel_fasteners|nuts|гайка-колес|aksessuary|shiny-i-diski,"Колёсные болты, гайки и шпильки",13,aksessuary,shiny-i-diski,0.912,1,8,near_threshold_or_close_candidate,ЗЧМ-00041 Гайка колес Москвич 2140 | К-00108 Гайка колёс Нива | К-00408 Гайка колес Нива (удлиненная) | К-00657 Гайка колес М12Х1.5 высокая (никель) | КГ-00028 Гайка колес Газель-Бычок | КГ-00144 Гайка колёс Таврия | КГ-00464 Гайка колес КАМАЗ | КГ-00650 Гайка колес УАЗ 14х1.5 ключ 19,КГ-00650 Гайка колес УАЗ 14х1.5 ключ 19
adhesive_tapes|adhesive_tapes|скотч|aksessuary|prochie-aksessuary,Скотч и клейкие ленты,13,aksessuary,prochie-aksessuary,0.8424,1,8,,"А-00214 Скотч ""Боди"" 25 мм | А-00219 Скотч ""Боди"" 38 мм | А-00886 Скотч 2-х сторонний ""ЗМ"" (9 мм) | А-01103 ""ЗМ"" Скотч 2-х сторон. 15 мм | А-02104 TOP CAR Скотч 38 мм/40м | А-00461 Скотч 50 мм | А-00973 Скотч ""3М"" (9 мм, 33 м) | А-02245 Скотч 150 мм",
car_fragrances|fragrances|дезодорант|aksessuary|prochie-aksessuary,Ароматизаторы и дезодоранты,12,aksessuary,prochie-aksessuary,0.8567,1,8,near_threshold_or_close_candidate,"А-00266 Дезодорант ""Кубики"" | А-00773 Дезодорант гелевый (вентилятор) | А-00917 Дезодорант гелевый (животные) | А-00977 Дезодорант ""Елочка"" (большая) | А-01107 Дезодорант в баночке Органика | А-01424 Дезодорант автомобильный | А-01434 Дезодорант под сиденье | А-01655 Дезодорант ""DIFFEREN""",А-01434 Дезодорант под сиденье
body_air_intakes|other|воздухозаборник|kuzov-i-optika|kuzovnye-detali,Кузовные воздухозаборники,12,kuzov-i-optika,kuzovnye-detali,0.8767,1,8,,"А-00623 Воздухозаборник Нива | А-01290 Воздухозаборник Нива н/о хром | А-00483 Воздухозаборник ОКА | А-00793 Воздухозаборник Нива, 2106 | А-01493 Воздухозаборник Нива черный, белый | А-01919 Воздухозаборник 2110 (тюнинг) наклад. | А-02341 Воздухозаборник Нива-Легенда 21214 | КГ-00239 Воздухозаборник УАЗ",
electrical_misc|other|переключатель|elektrika|prochaya-elektrika,Прочая электрика,12,elektrika,prochaya-elektrika,0.85,1,8,,ИН-00881 Переключатель | ЗЧМ-00296 Центральный переключатель света Москвич | ИН-00185 Переключатель света центр. Ланос | ИН-00197 Переключатель света Дэу-Нексиа | ИН-00734 Переключатель поворотов Ланос | ИН-00787 Переключатель поворотов Рено Логан | ИН-00788 Переключатель ст. очистителя Рено Логан | ИН-01021 Переключатель ст. очистителя Рено-Логан н,
engine_valves|other|клапан|dvigatel-i-transmissiya|detali-dvigatelya,Детали двигателя,11,dvigatel-i-transmissiya,detali-dvigatelya,0.8534,1,8,,"ДВ-00757 К-т клапанов выпускных 2108-1007012-01-Ч ЧАМЗ немагнит. | ДВ-00009 Втулки клапанные SM 2101-07 | ДВ-00010 Втулки клапанные SM 2108 | ДВ-00047 Втулки клапанные 2101-08 (1 шт) | ДВ-00314 Клапан 2108 выпуск. (Луганск) | ДВ-00368 Клапан выпускной АМР 2101-07, за 1 шт | ДВ-00369 Клапан выпускной АМР 2108-09, за 1 шт | ЗЧМ-00453 Клапаны выпускные Таврия (за 1 шт)",
steering_wheel_covers|steering_wheel_covers|оплетка|aksessuary|prochie-aksessuary,Оплетки руля,11,aksessuary,prochie-aksessuary,0.9073,1,8,,"А-02324 Оплётка для перетяжки руля ""АвтоПрофи"" | А-01612 Оплетка (натуральный мех) | А-01823 Оплётка 48 см | А-02099 Оплётка Гранта | А-02100 Оплётка Солярис, Рио | А-01481 Оплётка ""HR"" Израиль | А-01615 Оплетка ""DAKAR"" HR | А-01649 Оплётка PSV",
body_small_exterior|other|жабо|kuzov-i-optika|kuzovnye-detali,Малые кузовные элементы,10,kuzov-i-optika,kuzovnye-detali,0.8912,1,8,,КР-00348 Жабо ВАЗ 2108 (за 2 шт) | ИН-01127 Жабо Рено Дастер | А-01112 Жабо 2115 | А-02228 Жабо 2170 Приора | ИН-01128 Жабо Рено Логан | К-00947 Набор жабо 1118 | К-00948 Набор жабо 2110 | К-00949 Набор жабо 2170,
exhaust_hardware|studs|коллектор|dvigatel-i-transmissiya|vyhlopnaya-sistema,Метизы и хомуты выхлопной системы,10,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.872,1,8,,КГ-00598 Шпилька коллектора ЗИЛ-130 короткая | КГ-00599 Шпилька коллектора ЗИЛ-130 длин. | ЗЧМ-00373 Шпилька коллектора Москвич 8 шаг 1.0 | К-00489 Шпилька коллектора М6*30 2108 | К-00559 Шпилька М10*25 вып. коллектора 21103 | К-00712 Шпилька М10*25 вып. коллектора 21103 | КГ-00032 Шпилька коллектора ГАЗ | КГ-00034 Шпилька коллектора ГАЗ,
exhaust_hardware|other|приемн|dvigatel-i-transmissiya|vyhlopnaya-sistema,Метизы и хомуты выхлопной системы,10,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.872,1,8,,"КГ-00096 Кронштейн приёмной трубы Г-2217,3302 (дв. | КГ-00111 Кронштейн приемной трубы ГАЗ | КГ-00218 Кронштейн приемной трубы УАЗ 3741 409 дв. | КГ-01276 Кронштейн приёмной трубы Г-3302 Б+ (дв.4216,405-ЕВРО-2) | КР-00123 Кронштейн приёмной трубы 2108 | КР-00352 Кронштейн приемной трубы Нива | КР-00471 Кронштейн приёмной трубы Калина | КР-00472 Кронштейн приёмной трубы 16 кл. дв. 1.6",
steering_wheels|steering_wheels|руль|kuzov-i-optika|kuzovnye-detali,Рули и рулевые колеса,10,kuzov-i-optika,kuzovnye-detali,0.82,1,8,,"А-00390 Руль кожа-дерево | А-00123 Руль (кожа) | А-00227 Руль Лада | А-00405 Руль (цветной) | А-00490 Руль Нива-Тайга 2107 | А-00491 Руль ""Вираж"" | А-00648 Руль ""Вираж"" (нов. обр.) | А-01054 Накладки на руль",
headlight|other|фары|kuzov-i-optika|fary,Фары,10,kuzov-i-optika,fary,0.9,1,8,near_threshold_or_close_candidate,"А-00472 Накладка под фары 2110 (2 шт) | А-02291 Фары 2115 (тюнинг), 2 шт | ИН-00702 Фары пр.21511В7RLEMN2,лев.21511В7LLEMN2 | ИН-00735 Кожух крышки фары Chevrolet | О-00645 Фары тракторные (рефленые) | О-00672 Фары тракторные средние | О-00673 Фары тракторные большие | К-00677 Набор крепления фары ВАЗ 2104, 2105, 2107",А-00472 Накладка под фары 2110 (2 шт) | О-00038 Ободок фары УАЗ
exhaust|other|пламегаситель|dvigatel-i-transmissiya|vyhlopnaya-sistema,Выхлопная система,9,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.89,1,8,,"Г-00599 Пламегаситель стронгер 45*400 с перфор.-диффузором ""CBD"" STAL113 | Г-00633 Пламегаситель коллекторный диссипативный D=57х110мм L=100мм CBD510.010 | Г-00600 Пламегаситель стронгер 45*550 с перфор.-диффузором ""CBD"" STAL114 | Г-00601 Пламегаситель стронгер 50*300 с перфор.-диффузором ""CBD"" STAL115 | Г-00602 Пламегаситель стронгер 50*400 с перфор.-диффузором ""CBD"" STAL116 | Г-00603 Пламегаситель стронгер 50*550 с перфор.-диффузором ""CBD"" STAL117 | Г-00604 Стронгер пламегаситель жаброобразный 76х50мм L=400мм STAL101 | Г-00621 Пламегаситель коллекторный диссилативный UNIVERSAL D=57х100 мм L=100мм CBD510.003",
engine_fasteners|bolts|маховик|dvigatel-i-transmissiya|detali-dvigatelya,Метизы и малые детали двигателя,9,dvigatel-i-transmissiya,detali-dvigatelya,0.8653,1,8,,К-00838 Шайба под болты маховика 2101 | КГ-00084 Гайка болта маховика ГАЗ-2410 | КГ-00022 Болт маховика УАЗ | КГ-00053 Болт крепления маховика Зил-130 | КГ-00165 Болт крепления маховика УАЗ (нов. обр.) к | КГ-00363 Болт М14*64*1.25 маховика | КГ-00475 Болт М10*45*1.25 маховика 406 дв. | КГ-00578 Болт крепления маховика Бычок,
oil_pan_plugs|caps_plugs|пробка-поддона|dvigatel-i-transmissiya|detali-dvigatelya,Пробки поддона,9,dvigatel-i-transmissiya,detali-dvigatelya,0.912,1,8,,"ЗЧМ-00057 Пробка поддона Москвич | ИН-00725 21096F Пробка поддона Ford Mondeo/Focus | ИН-00803 6564F Пробка поддона BMW универсальная | КГ-00018 Пробка поддона Волга | КГ-00245 Пробка поддона 406 дв. | КГ-00694 Пробка поддона слив. (дв. 406) ремонтная | КГ-00900 Пробка поддона Газель ЕВРО-3 | КГ-01151 Пробка поддона слив. (дв. 405,409) ЕВРО-3",
wiring|other|разъем|elektrika|provodka,Проводка,9,elektrika,provodka,0.87,1,8,,А-01899 Диагностический разъём с Bluetooth (ОВД) | А-01900 Диагностический разъём с Wi-Fi (ОВД) | А-01926 Разъём диагностический BLUETOO ELM 327 | А-02222 Диагностический разъём Exposer Wi-Fi 327 | А-02243 Диагностический разъём ELM 327 (EXPOSER) | ИН-01421 Разъём-переходник KIA HY-01 | КГ-01107 Разъём кузовной д.27 | КГ-01290 Разъём кузовной д. 20,
body_glass|other|стекла|kuzov-i-optika|stekla,Стекла,9,kuzov-i-optika,stekla,0.877,1,8,near_threshold_or_close_candidate,ЗЧМ-00645 Уплотнитель зад. стекла 2141 | ЗЧМ-00422 Уплотнитель лобового стекла 2141 без зам | ЗЧМ-00599 Уплотнитель лобового стекла Таврия | А-01985 Накладка зад. стекла 2101-07 | А-00095 Плёнка лобового стекла | А-00577 Обогрев заднего стекла | ДВ-00187 Обдув лобового стекла 2105-07 | КР-00105 Замок лоб. стекла 2101-07,А-01985 Накладка зад. стекла 2101-07 | А-00095 Плёнка лобового стекла | КР-00373 Накладка лобового стекла 2110 лев./прав.
fuel_system|other|форсунки|dvigatel-i-transmissiya|toplivnaya-sistema,Топливная система,9,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,1,8,,"Р-00074 Форсунки КАМАЗ | РГ-00225 Рем.к-т стакана форсунки | ДВ-00158 Форсунки Гранта н. обр. № 21127 | ДВ-00309 Форсунки 2110 (1 шт) ""Сименс"" | ДВ-00484 Форсунки Калина | ДВ-00703 Скоба крепления форсунки Vesta, X-RAY 1,6 | ДВ-00704 Скоба крепления форсунки Vesta, X-RAY 1,8 | ИН-00237 Форсунки Рено-Логан",
interior|other|полка|kuzov-i-optika|elementy-salona,Элементы салона,9,kuzov-i-optika,elementy-salona,0.85,1,8,,А-00101 Полка зад. п 2104-08 | А-00102 Полка зад. п 2109 | А-01710 Полка аккустическая с опорами 2172 | А-01711 Полка аккустическая 2108-09 | А-00379 Полка зад. 21099 | А-00645 Полка под бардачок 2105-06 | А-00670 Полка акустическая 2170 | А-01647 Полка аккустическая 2105-07 с коробами,
car_audio|other|автоколонки|aksessuary|prochie-aksessuary,Автоаудио,8,aksessuary,prochie-aksessuary,0.89,1,8,,А-01279 Автоколонки SWAT А 69 | А-01485 Автоколонки CARLIVE 16 | А-02087 Автоколонки 6975 | А-02088 Автоколонки 6995 | А-02372 Автоколонки д.10 | А-02089 Автоколонки 1695 | А-02090 Автоколонки Kenwood 6956 | А-02278 Автоколонки Eplutus ES-500,
seat_covers|other|накидка|aksessuary|chehly,Чехлы и накидки сидений,8,aksessuary,chehly,0.8788,1,8,,"А-01689 HR Накидка на сидения ECO CORD | А-02097 Накидка 3D PREMIUM, 2 сидения | А-00378 Накидка массажная PSV плетёный бамбук | А-01312 Накидка меховая (искусств.) | А-02269 Накидка для собак на заднее сидение 160х130 | А-02425 Накидка массажная AVS М2410BP-BL (большая с поддержкой) шарики | А-01452 Накидка массажная AVS С119 шарики серая | А-01966 Накидка массажная PSV деревянные косточки бежевая, 1 шт",
interior|other|консоль|kuzov-i-optika|elementy-salona,Элементы салона,8,kuzov-i-optika,elementy-salona,0.85,1,8,,А-00014 Консоль 2106 | А-00288 Консоль Приора серебро | А-00687 Консоль Нива 21213 | А-00195 Консоль 2107 (пустая) | А-00724 Консоль 2105 | А-01210 Консоль Калина (пустая) | А-01641 Консоль Приора н/о | КР-00465 Консоль Приора 2170 пустая,
interior|seat_parts|сиденье|kuzov-i-optika|elementy-salona,Элементы салона,8,kuzov-i-optika,elementy-salona,0.85,1,8,,"А-00606 Сиденье 2105 | А-00900 Сиденье детское (9-36 кг) | А-00904 Сиденье детское (9-36 кг) | КР-00368 Сиденье 2107 перед. лев., прав. (за 1 шт) | КР-00369 Сиденье Нива 21213 перед. лев., пр.(1шт.) | КР-00370 Сиденье 2109 перед. лев., прав. (за 1 шт) | А-01115 Сиденье детское 15-36 кг | КР-00390 Сиденье перед. 2110 (за 1 шт)",
car_fragrances|fragrances|ароматизатор|aksessuary|prochie-aksessuary,Ароматизаторы и дезодоранты,7,aksessuary,prochie-aksessuary,0.86,1,7,,"А-00030 АРОМАТИЗАТОР ""Senso"" (регулируемый) | А-00032 Ароматизатор воздуха гелевый | А-00158 Ароматизатор ""Ёлочка"" | А-01415 АРОМАТИЗАТОР ""SLIM "" | А-01921 Ароматизатор CONTEX с дерев. крышечкой SEX | А-01960 Ароматизатор CONTEX спрей | А-02318 Ароматизатор CONTEX",
tow_ropes|other|трос|aksessuary|bezopasnost,Буксировочные тросы и стропы,7,aksessuary,bezopasnost,0.8797,1,7,,"А-00143 Трос 15 т ленточный с петлями ""Новые технологии"" | А-01022 Трос 10т ( с крюками) | А-02132 Трос динамический 10 т | А-00471 Крюк для троса | А-01422 Трос динамический 12т 6м | А-02096 Трос 10 т 2 крюка | А-02133 Трос динамический 14 т",
driver_electronics|driver_electronics|антирадар|aksessuary|prochie-aksessuary,Водительская электроника,7,aksessuary,prochie-aksessuary,0.8751,1,7,,"А-00835 Антирадар ""SHO-ME"" | А-01196 Антирадар ""SHO-ME"" 530 | А-01374 Антирадар Cobra 845 | А-01009 Антирадар ""САВЕР 255"" | А-01326 Антирадар ""Кобра"" | А-01986 Антирадар ""Кармера GPS 330"" | А-01133 Антирадар ""Sho-мe"" №520 голосовой",
washing_sponges|washing_sponges|губка|aksessuary|prochie-aksessuary,Губки и расходники мойки,7,aksessuary,prochie-aksessuary,0.8474,1,7,,А-02411 Губка поролоновая крупнопористая AVS SP-11 кирпич 180х100х50мм | А-01860 РМ0972 Губка поролоновая крупнопористая 235х115х85мм | А-01946 Губка автомобильная крупнопористая AVS SP-17 | А-02265 GRASS Губка автомобильная крупнопористая | А-02148 Губка поролоновая AVS SP-12 двухслойная 170х108х53 мм | А-02246 Губка для ухода за пластиком AVS SPP-01 глянцевый эффект | А-02284 Губка поролоновая AVS SP-4 (рельса) в вакуум. упаковке,
reflectors|other|катафот|kuzov-i-optika|fonari,Катафоты и отражатели,7,kuzov-i-optika,fonari,0.86,1,7,,О-00549 Катафот оранжевый | А-00142 Катафот номера 2110 | А-00256 Катафот номера 3110 | А-00411 Катафот номера | А-01609 Катафот универсальный 2 шт | О-00094 Катафот - треугольник | О-00169 Катафот круглый,
wheel_fasteners|studs|колес|aksessuary|shiny-i-diski,"Колёсные болты, гайки и шпильки",7,aksessuary,shiny-i-diski,0.8874,1,7,,ИН-00930 0284-001 Шпилька колесная NISSAN | ИН-00954 94501745GM Шпилька колесная Daewoo Matiz | ИН-01598 MLS-116 Шпилька колёсная | КГ-00149 Шпилька колесная Соболь-2217 | КГ-00029 Шпилька колес Газель | КГ-00095 Шпилька с гайкой колес Таврия | КГ-00413 Шпилька колес задняя Валдай (за 1 шт),
active_neighbor|other|active-neighbor-75|kuzov-i-optika|kuzovnye-detali,Похожие активные товары,7,kuzov-i-optika,kuzovnye-detali,0.935,1,7,,"А-00410 Кожух руля 2106 | Г-00653 Усил. задней панели 21213 | А-00315 Кожух руля 2108 | А-00316 Кожух руля 2105, 2107, Нива | А-00751 Кожух руля 2110 | А-00932 Кожух руля ""Калина"" | А-01181 Кожух руля 2110 с/о",
fuel_system|other|трубки-топливные|dvigatel-i-transmissiya|toplivnaya-sistema,Топливная система,7,dvigatel-i-transmissiya,toplivnaya-sistema,0.91,1,7,,ДВ-00588 Трубки топливные Нива 2131 (к-т 2 шт) | ДВ-00591 Трубки топливные Гранта 2190 (к-т 2 шт) | ДВ-00460 Трубки топливные магистральные 2108 | ДВ-00461 Трубки топливные 2108 дв. 16 (за 1 шт) | ДВ-00462 Трубки топливные 2110 дв. 1.6 (за 1 шт) | ДВ-00463 Трубки топливные 2104-07 инжектор | ДВ-00590 Трубки топливные Нива 21214 инж. (к-т 2 ш,
fuel_system|other|топливн|dvigatel-i-transmissiya|toplivnaya-sistema,Топливная система,7,dvigatel-i-transmissiya,toplivnaya-sistema,0.87,1,7,,"КГ-00533 Шайбы топливные д.10 | А-01663 UKC Индикатор качества топливной смеси | ДВ-00292 К-т топливных трубок 2101-07 | ДВ-00397 Комплект топливных трубок 2110, Нива | ДВ-00426 Комплект топливных трубок 2110 корот. | ДВ-00602 К-т топливных трубок Лада-Гранта | КГ-00479 Шайбы топливные д.14",
throttle_cables|other|трос|dvigatel-i-transmissiya|toplivnaya-sistema,Тросы газа,7,dvigatel-i-transmissiya,toplivnaya-sistema,0.8777,1,7,,К-00326 Стопор троса газа 2108 | ДВ-00151 Трос подсоса ВАЗ 2101-07 | ДВ-00152 Трос подсоса ВАЗ 2108-09 | ЗЧМ-00200 Трос подсоса 2141 | ЗЧМ-00624 Трос подсоса Таврия | ЗЧМ-00641 Трос подсоса ЗАЗ | К-00327 Стопор троса подсоса 2101-08,
fuel_management|other|адсорбер|dvigatel-i-transmissiya|toplivnaya-sistema,Узлы топливной системы,7,dvigatel-i-transmissiya,toplivnaya-sistema,0.86,1,7,,ДВ-00257 Адсорбер Приора н.обр. | ДВ-00404 Адсорбер Калина | ДВ-00456 Адсорбер Приора 2170 | ДВ-00555 Адсорбер ВАЗ 2114-2115 | ДВ-00666 Адсорбер Лада Веста | КР-00540 Кронштейн адсорбера 2110 | КР-00541 Кронштейн адсорбера 21082,
interior|other|обшивка|kuzov-i-optika|elementy-salona,Элементы салона,7,kuzov-i-optika,elementy-salona,0.85,1,7,,"А-00474 Обшивка салона 2108 (к-т) | КР-00003 Задняя обшивка стоек ВАЗ 2108 (1 к-т, 2 ш | КР-00326 Обшивка пола Нива (средняя) | А-00371 Обшивка крыши 2101-07,2104,Нива | А-00539 Обшивка-треугольник 2106 | КР-00302 Обшивка задняя Нива 21213 (к-т 2 шт) | КР-00303 Обшивка перед. Нива 21213 (2 шт)",
driver_electronics|driver_electronics|алкотестер|aksessuary|prochie-aksessuary,Водительская электроника,6,aksessuary,prochie-aksessuary,0.87,1,6,,А-01028 Алкотестер | А-01032 Алкотестер 3000 | А-02143 Алкотестер 6000 | А-02193 Алкотестер AD 2600 | А-00430 Алкотестер 002 | А-00654 Алкотестер,
electrical_tape|other|изолента|elektrika|provodka,Изолента и электромонтажные ленты,6,elektrika,provodka,0.87,1,6,,"А-00170 Изолента | А-00240 Изолента черная х/б | А-00253 Изолента | А-00591 Изолента ""NOVA ROL"" | А-01904 Изолента салонная (противошум) | А-02059 Изолента ""NEOMATEC""",
tools|fittings|ключ|aksessuary|instrumenty,Инструменты,6,aksessuary,instrumenty,0.88,1,6,,КГ-00224 Штуцер - тройник 24 ключ | КГ-00765 Штуцер-соединитель угловой под 22 ключ | КГ-00766 Штуцер-соединитель угловой под 24 ключ | КГ-00767 Штуцер-соединитель угловой под 27 ключ | КГ-00768 Штуцер-соединитель угловой под 32 ключ | КГ-01330 Соединитель шлангов угол 16х16 ключ 19,
spring_hardware|nuts|стремян|podveska|ressory,Метизы и втулки рессор,6,podveska,ressory,0.872,1,6,,"КГ-00019 Гайка стремянок Газель | КГ-00321 Гайка задних стремянок ЗИЛ-130 | КГ-00323 Гайка задних стремянок ЗИЛ-130 | КГ-00392 Гайка М24*1.5 стремянки зад. ресс. Камаз | КГ-00633 Гайка М30х2 стремянки задней МАЗ,КАМАЗ-65 | КГ-00648 Гайка зад. стремянки Зил-130 22х1,5",
exhaust_hardware|nuts|приемн|dvigatel-i-transmissiya|vyhlopnaya-sistema,Метизы и хомуты выхлопной системы,6,dvigatel-i-transmissiya,vyhlopnaya-sistema,0.872,1,6,,"К-00015 Гайка М 8 д. приёмной трубы ВАЗ 01-08 | К-00305 Гайка приемной трубы на 2110 | К-00923 Гайка М8*1,25 приёмной трубы с буртиком ""Веста"", ""Ларгус"" | КГ-00016 Гайка приемной трубы Волга | КГ-00069 Гайка приемной трубы ГАЗ | КГ-00784 Гайка М10*1.25 приемной трубы КАМАЗ (лату",
